,,,,,
Course ID,Title,Section,Lecturer,Schedule,Language
MBAN-610DE,Organizations and HR Management,2,Michailidis M. & M.,Dist. Learning,English
MBAN-610DG,?????????? ??? ?????????? ?????¹???? ?????????,1,Michailidis M. & M.,Dist. Learning,Greek
MBAN-610DG,?????????? ??? ?????????? ?????¹???? ?????????,2,Michailidis M. & M.,Dist. Learning,Greek
MBAN-610DG,?????????? ??? ?????????? ?????¹???? ?????????,3,Michailidis M. & M.,Dist. Learning,Greek
MBAN-767DG,?????¹??? ???????? ??? ?????????? ???¹????,1,Michailidis M. & M.,Dist. Learning,Greek
MBAN-743DG,????????? ???????????,1,Mihiotis A.,Dist. Learning,Greek
MBAN-769DG,????????? ???????????,1,Mihiotis A.,Dist. Learning,Greek
MBAN-769DG,????????? ???????????,2,Mihiotis A.,Dist. Learning,Greek
MPA-535DL,???????? ??? ????????,1,Mihiotis A.,Dist. Learning,Greek
ACCT-111,Accounting II (sections 01 and 06 for the ACCOUNTING students),3,Morphi Katerina,We 12:00-15:00,English
ACCT-111,Accounting II (sections 01 and 06 for the ACCOUNTING students),7,Morphi Katerina,Tu 12:00-15:00,English
ACCT-210,Intermediate Financial Accounting,1,Morphi Katerina,Tu 09:00-12:00,English
ACCT-310,Advanced Financial Accounting,1,Morphi Katerina,Th 15:00-18:00,English
ACCT-413,Advanced Accounting Theory,1,Morphi Katerina,Mo 12:00-15:00,English
ACCT-437,Corporate Governance,1,Morphi Katerina,We 15:00-18:00,English
MKTG-330DL,Marketing and Social Responsibility,1,Morphitis A.,Dist. Learning,English
MKTG-331DL,CSR and Sustainable Marketing,1,Morphitis A.,Dist. Learning,English
MKTG-496DL,Consumer Behaviour,1,Morphitis A.,Dist. Learning,English
BLOC-524DL,Cryptographic Systems Security,1,Mourouzis T.,Dist. Learning,English
ENTR-150,Introduction to Entrepreneurship,1,Nicolaou C.,Th 12:00-15:00,English
ENTR-200,Creativity,1,Nicolaou C.,Th 09:00-12:00,English
ENTR-282,Small Business and Entrepreneurship,1,Nicolaou C.,Mo 15:00-18:00,English
MGT-281,Introduction to Management,2,Nicolaou C.,Mo 18:00-21:00,English
MGT-282,Small Business and Entrepreneurship,1,Nicolaou C.,Mo 15:00-18:00,English
HOSP-111A,Food Production and Service Operations,1,Orphanides N. & K.,Tu 15:00-20:00,English
BADM-491,Special Topics in Business,1,Orphanidou Yianna,Not Scheduled,English
HOSP-410,Service Quality Management,1,Orphanidou Yianna,We 15:00-18:00,English
HOSP-491,Thesis,1,Orphanidou Yianna,Not Scheduled,English
THOM-300,Conferences and Exhibitions,1,Orphanidou Yianna,We 09:00-12:00,English
THOM-300,Conferences and Exhibitions,1,Orphanidou Yianna,We 09:00-12:00,English
HOSP-100,Introduction to Hospitality Management,1,Panayiotou George,Tu 09:00-12:00,English
